,new_region,date,nombre_de_trains_programmes,nombre_de_trains_ayant_circule,nombre_de_trains_annules,nombre_de_trains_en_retard_a_l_arrivee,taux_de_regularite,nombre_de_trains_a_l_heure_pour_un_train_en_retard_a_l_arrivee,annee,mois
454,Nouvelle Aquitaine,2014-09-01,16478.0,16253.0,225.0,1567.0,90.35870300867532,9.372048500319082,2014,9
286,Grand Est,2014-09-01,25771.0,25574.0,197.0,796.0,96.8874638304528,31.128140703517587,2014,9
731,Provence-Alpes-Côte d'Azur,2014-09-01,14036.0,13441.0,595.0,2581.0,80.79755970537906,4.207671445176288,2014,9
394,Normandie,2014-09-01,9183.0,9072.0,111.0,421.0,95.35934744268077,20.548693586698338,2014,9
732,Provence-Alpes-Côte d'Azur,2014-10-01,14114.0,13169.0,945.0,2198.0,83.30928696180423,4.991355777979982,2014,10
335,Hauts-de-France,2014-10-01,31148.0,30655.0,493.0,2920.0,90.47463709019736,9.498287671232877,2014,10
613,Pays de la Loire,2014-10-01,11639.0,11498.0,141.0,940.0,91.82466515915812,11.231914893617022,2014,10
141,Bretagne,2014-10-01,8151.0,8088.0,63.0,545.0,93.26162215628091,13.840366972477064,2014,10
395,Normandie,2014-10-01,9449.0,9360.0,89.0,706.0,92.45726495726495,12.257790368271955,2014,10
287,Grand Est,2014-10-01,26194.0,25902.0,292.0,1204.0,95.3517102926415,20.51328903654485,2014,10
81,Bourgogne-Franche-Comté,2014-10-01,14080.0,13936.0,144.0,1609.0,88.45436280137773,7.661280298321939,2014,10
21,Auvergne-Rhône-Alpes,2014-10-01,36681.0,36090.0,591.0,3952.0,89.04959822665559,8.132085020242915,2014,10
455,Nouvelle Aquitaine,2014-10-01,17131.0,16887.0,244.0,1571.0,90.69698584710132,9.749204328453214,2014,10
547,Occitanie,2014-10-01,13033.0,12623.0,410.0,1442.0,88.57640814386437,7.753814147018031,2014,10
733,Provence-Alpes-Côte d'Azur,2014-11-01,12950.0,12179.0,771.0,3122.0,74.36571147056408,2.9010249839846254,2014,11
142,Bretagne,2014-11-01,7146.0,7087.0,59.0,517.0,92.70495273035135,12.707930367504835,2014,11
614,Pays de la Loire,2014-11-01,10403.0,10273.0,130.0,746.0,92.73824588727733,12.770777479892761,2014,11
82,Bourgogne-Franche-Comté,2014-11-01,12810.0,12655.0,155.0,1413.0,88.83445278546029,7.956121726822364,2014,11
548,Occitanie,2014-11-01,12061.0,11685.0,376.0,1592.0,86.37569533590073,6.339824120603015,2014,11
