,User,Tweet,timeTweet,source,retweet
219,Caliilamaline,"Entre les pannes matériel de la @SNCF et les métros de la @RATPgroup qui se bloquent, je suis pas loin de rater mon train 🙃 toujours un plaisir de se déplacer.",2022-12-16 09:08:10+00:00,Twitter for iPhone,0
220,jjwillb,@CBeaune svp dites @SNCF de corriger les fautes grossières de traduction (google?) sur @SNCFConnect C’est une honte pr 1 si grande entreprise française! https://t.co/ecEMa2reue,2022-12-16 09:07:09+00:00,Twitter Web App,0
221,Parisienne_12e,"@SNCF Bonjour, c'est le 5955",2022-12-16 09:06:46+00:00,Twitter Web App,0
222,corbier_le,"Bonjour, est ce que le tgv 2540 du 17 décembre est supprimé ? @SNCF",2022-12-16 09:06:38+00:00,Twitter Web App,0
223,Josephine_Ah,Bonjour @SNCF est ce que le train 6225 gare de lyon &gt; Montpellier aujourd'hui est maintenu ?,2022-12-16 09:06:28+00:00,Twitter for Android,0
224,VinsanityShaq,Le retour ? Supprimé. Arrêtons d’enrichir @SNCF et continuons à polluer avec nos vieilles voiture https://t.co/EGDmM2PZMA,2022-12-16 09:04:43+00:00,Twitter for iPhone,0
225,ptitboy_,"RT @charlie_dancer_: @SNCF @RATPgroup @vpecresse Depuis des mois aucun des usagers n’a pu avoir un trajet sans encombre : trains supprimés,…",2022-12-16 09:02:51+00:00,Twitter for iPhone,1
226,RaphaelleRemand,@FabulousFabibi @SNCF @SNCFConnect @GroupeSNCF Je croise les doigts pour toi !,2022-12-16 09:02:39+00:00,Twitter Web App,0
227,FabulousFabibi,@RaphaelleRemand @SNCF @SNCFConnect @GroupeSNCF Han les boules ; courage !,2022-12-16 09:01:54+00:00,Twitter for iPhone,0
228,Jaderies_,Bonjour @SNCF ! Je vois des tgv marqués non réservables dimanche matin. Ce sont les trains qui sont annulés du fait de la grève ? 😱,2022-12-16 09:01:50+00:00,Twitter Web App,0
229,kriegerisa1,"RT @ParisZoopolis: 🕖Depuis des années, PAZ interpelle les Mairies, @ClientsRATP et @SNCF pr le retrait des filets qui piègent et tuent les…",2022-12-16 08:55:29+00:00,Twitter Web App,10
230,adrien082,"⁦@SNCF⁩, « peu de perturbations pour les vacances »? Annulation pure et simple du TGV Junior &amp; Cie 9404, sans solution de remplacement. Des organisations familiales anéanties pour les vacances, mais c’est certain que les TGV de Paris vers le ski ont tous été maintenus. https://t.co/5QobkLl90x",2022-12-16 08:54:53+00:00,Twitter for iPhone,0
231,ClaimShark,Soutien aux travailleurs et nique la @SNCF,2022-12-16 08:51:45+00:00,Twitter for Android,0
232,RomaneFrs26,"@SNCF Train 830809 en gare d’Entzheim-Aeroport, départ prévu à 08h01, retard prévu de 5 minutes, arrivée et départ à 08h01… respecter les horaires annoncés sur l’application est la moindre des choses.
Merci.",2022-12-16 08:50:41+00:00,Twitter for iPhone,0
233,BigOfficeOn,RT @GLantrac: @dObernai @SNCF C’est en bonne voie.,2022-12-16 08:43:02+00:00,Twitter for Android,1
234,Vicdmvh,RT @radiometropolys: #Grève à la @SNCF : fortes perturbations en #gare Lille-Flandres - Metropolys #Lille #Transport #Circulation #Ferrovia…,2022-12-16 08:41:43+00:00,Twitter for Android,1
235,GuyCaria,"Attention, si la grève impacte indirectement votre voyage dans un train @OUIGO, le billet ne sera pas remboursé, mais remis en vente par #ouigo. S'il n'est pas revendu, ce sera pour votre poche. @SNCF #SNCF #greve #Transports",2022-12-16 08:41:27+00:00,Twitter Web App,0
